 	GMZ011 	NW Gulf including Stetson Bank
atom 	GMZ730 	Apalachee Bay or Coastal Waters From Keaton Beach to Ochlockonee River Fl out to 20 Nm
atom 	GMZ750 	Coastal waters from Apalachicola to Destin FL out 20 NM
atom 	GMZ755 	Coastal Waters From Ochlockonee River to Apalachicola Fl out to 20 Nm
atom 	GMZ765 	Coastal waters from Suwannee River to Keaton Beach out 20 NM
atom 	GMZ770 	Waters from Apalachicola to Destin FL from 20 to 60 NM
atom 	GMZ775 	Waters from Suwannee River to Apalachicola FL from 20 to 60 NM
atom 	GMZ830 	Tampa Bay waters
atom 	GMZ836 	Charlotte Harbor and Pine Island Sound
atom 	GMZ850 	Coastal waters from Tarpon Springs to Suwannee River FL out 20 NM
atom 	GMZ853 	Coastal waters from Englewood to Tarpon Springs FL out 20 NM
atom 	GMZ856 	Coastal waters from Bonita Beach to Englewood FL out 20 NM
atom 	GMZ870 	Waters from Tarpon Springs to Suwannee River FL out 20 to 60 NM
atom 	GMZ873 	Waters from Englewood to Tarpon Springs FL out 20 to 60 NM
atom 	GMZ876 	Waters from Bonita Beach to Englewood FL out 20 to 60 NM
